ids,text,labels,parents
Ori-Personalities,,16 Personalities,
Ori-Artisans,"<sub>Tactical, Courageous<br>ISTP | ESTP | ISFP | ESFP</sub>",Artisans,Ori-Personalities
Ori-Guardians,"<sub>Logistical, Hard Working<br>ISTJ | ESTJ | ISFJ | ESFJ</sub>",Guardians,Ori-Personalities
Ori-Rationals,"<sub>Stategic, See The Big Picture<br>ENTP | INTP | ENTJ | INTJ</sub>",Rationals,Ori-Personalities
Ori-Idealist,"<sub>Diplomatic, Compassionate<br>ENFP | INFP | ENFJ | INFJ</sub>",Idealist,Ori-Personalities
Ori-ISTP,<sub>The Craftsman:<br>Working with facts and hands</sub>,ISTP,Ori-Artisans
Ori-ESTP,<sub>The Doer:<br>Focus on the here and now</sub>,ESTP,Ori-Artisans
Ori-ISFP,<sub>The Artist:<br>Marching to a different drummer</sub>,ISFP,Ori-Artisans
Ori-ESFP,"<sub>The Performer:<br>If there's no excitement, we'll create it</sub>",ESFP,Ori-Artisans
Ori-ISTJ,<sub>The Inspector:<br>Organizing everything</sub>,ISTJ,Ori-Guardians
Ori-ESTJ,<sub>The Supervisor:<br>Taking care of business</sub>,ESTJ,Ori-Guardians
Ori-ISFJ,<sub>The Nurturer:<br>Meeting obligations</sub>,ISFJ,Ori-Guardians
Ori-ESFJ,<sub>The Caregiver:<br>Getting things done</sub>,ESFJ,Ori-Guardians
Ori-ENTP,<sub>The Inventor:<br>One Idea After Another</sub>,ENTP,Ori-Rationals
Ori-INTP,<sub>The Scientist:<br>Always analytical</sub>,INTP,Ori-Rationals
Ori-ENTJ,<sub>The CEO:<br>To live is to lead</sub>,ENTJ,Ori-Rationals
Ori-INTJ,<sub>The Mastermind:<br>Can improve on anything</sub>,INTJ,Ori-Rationals
Ori-ENFP,<sub>The Discoverer:<br>In search of myself</sub>,ENFP,Ori-Idealist
Ori-INFP,<sub>The Idealist:<br>Pursuing ideals</sub>,INFP,Ori-Idealist
Ori-ENFJ,<sub>The Mentor:<br>An inspiration to others</sub>,ENFJ,Ori-Idealist
Ori-INFJ,<sub>The Counselor:<br>One cause after another</sub>,INFJ,Ori-Idealist
Ori-A1,,Description,Ori-ISTP
Ori-A2,,Characteristics,Ori-ISTP
Ori-A3,,Possible Careers,Ori-ISTP
Ori-A4,,Famous People,Ori-ISTP
Ori-A5,,Types in Quote,Ori-ISTP
Ori-A6,,Fun Fact,Ori-ISTP
Ori-B1,,Description,Ori-ESTP
Ori-B2,,Characteristics,Ori-ESTP
Ori-B3,,Possible Careers,Ori-ESTP
Ori-B4,,Famous People,Ori-ESTP
Ori-B5,,Types in Quote,Ori-ESTP
Ori-B6,,Fun Fact,Ori-ESTP
Ori-C1,,Description,Ori-ISFP
Ori-C2,,Characteristics,Ori-ISFP
Ori-C3,,Possible Careers,Ori-ISFP
Ori-C4,,Famous People,Ori-ISFP
Ori-C5,,Types in Quote,Ori-ISFP
Ori-C6,,Fun Fact,Ori-ISFP
Ori-D1,,Description,Ori-ESFP
Ori-D2,,Characteristics,Ori-ESFP
Ori-D3,,Possible Careers,Ori-ESFP
Ori-D4,,Famous People,Ori-ESFP
Ori-D5,,Types in Quote,Ori-ESFP
Ori-D6,,Fun Fact,Ori-ESFP
Ori-E1,,Description,Ori-ISTJ
Ori-E2,,Characteristics,Ori-ISTJ
Ori-E3,,Possible Careers,Ori-ISTJ
Ori-E4,,Famous People,Ori-ISTJ
Ori-E5,,Types in Quote,Ori-ISTJ
Ori-E6,,Fun Fact,Ori-ISTJ
Ori-F1,,Description,Ori-ESTJ
Ori-F2,,Characteristics,Ori-ESTJ
Ori-F3,,Possible Careers,Ori-ESTJ
Ori-F4,,Famous People,Ori-ESTJ
Ori-F5,,Types in Quote,Ori-ESTJ
Ori-F6,,Fun Fact,Ori-ESTJ
Ori-G1,,Description,Ori-ISFJ
Ori-G2,,Characteristics,Ori-ISFJ
Ori-G3,,Possible Careers,Ori-ISFJ
Ori-G4,,Famous People,Ori-ISFJ
Ori-G5,,Types in Quote,Ori-ISFJ
Ori-G6,,Fun Fact,Ori-ISFJ
Ori-H1,,Description,Ori-ESFJ
Ori-H2,,Characteristics,Ori-ESFJ
Ori-H3,,Possible Careers,Ori-ESFJ
Ori-H4,,Famous People,Ori-ESFJ
Ori-H5,,Types in Quote,Ori-ESFJ
Ori-H6,,Fun Fact,Ori-ESFJ
Ori-I1,,Description,Ori-ENTP
Ori-I2,,Characteristics,Ori-ENTP
Ori-I3,,Possible Careers,Ori-ENTP
Ori-I4,,Famous People,Ori-ENTP
Ori-I5,,Types in Quote,Ori-ENTP
Ori-I6,,Fun Fact,Ori-ENTP
Ori-J1,,Description,Ori-INTP
Ori-J2,,Characteristics,Ori-INTP
Ori-J3,,Possible Careers,Ori-INTP
Ori-J4,,Famous People,Ori-INTP
Ori-J5,,Types in Quote,Ori-INTP
Ori-J6,,Fun Fact,Ori-INTP
Ori-K1,,Description,Ori-ENTJ
Ori-K2,,Characteristics,Ori-ENTJ
Ori-K3,,Possible Careers,Ori-ENTJ
Ori-K4,,Famous People,Ori-ENTJ
Ori-K5,,Types in Quote,Ori-ENTJ
Ori-K6,,Fun Fact,Ori-ENTJ
Ori-L1,,Description,Ori-INTJ
Ori-L2,,Characteristics,Ori-INTJ
Ori-L3,,Possible Careers,Ori-INTJ
Ori-L4,,Famous People,Ori-INTJ
Ori-L5,,Types in Quote,Ori-INTJ
Ori-L6,,Fun Fact,Ori-INTJ
Ori-M1,,Description,Ori-ENFP
Ori-M2,,Characteristics,Ori-ENFP
Ori-M3,,Possible Careers,Ori-ENFP
Ori-M4,,Famous People,Ori-ENFP
Ori-M5,,Types in Quote,Ori-ENFP
Ori-M6,,Fun Fact,Ori-ENFP
Ori-N1,,Description,Ori-INFP
Ori-N2,,Characteristics,Ori-INFP
Ori-N3,,Possible Careers,Ori-INFP
Ori-N4,,Famous People,Ori-INFP
Ori-N5,,Types in Quote,Ori-INFP
Ori-N6,,Fun Fact,Ori-INFP
Ori-O1,,Description,Ori-ENFJ
Ori-O2,,Characteristics,Ori-ENFJ
Ori-O3,,Possible Careers,Ori-ENFJ
Ori-O4,,Famous People,Ori-ENFJ
Ori-O5,,Types in Quote,Ori-ENFJ
Ori-O6,,Fun Fact,Ori-ENFJ
Ori-P1,,Description,Ori-INFJ
Ori-P2,,Characteristics,Ori-INFJ
Ori-P3,,Possible Careers,Ori-INFJ
Ori-P4,,Famous People,Ori-INFJ
Ori-P5,,Types in Quote,Ori-INFJ
Ori-P6,,Fun Fact,Ori-INFJ
Ori-A1-Sub,,"Introverted Sensing Thinking Perceiving (ISTP)<br><br>

Acronym :  I See The Problem<br><br>

ISTP's excel at analyzing situations to reach the heart of a problem so that they can swiftly<br>
implement a functional repair, making them ideally suited to the field of engineering.<br><br>

ISTP's are often capable of humorously insightful observations about the world around them.<br><br>

ISTP's may sometimes seem to act without regard for procedures, directions, protocol,<br>
or even their own safety. But while their approach may seem haphazard, it is in fact based<br>
on a broad store of knowledge developed over time.",Ori-A1
Ori-A2-Sub,,"Compelled to understand how things work.<br>
Are loyal to their causes and beliefs.<br>
Like to be up and about, doing things.<br>
ISTPs are excellent in a crisis situations.",Ori-A2
Ori-A3-Sub,,"Construction, Electrician, Factory Worker,<br>
Mechanic, Military, Pilot<br><br>

More (The Builder) :<br>
Carpenter, Commercial Artist, Firefighter,<br>
Geologist, Mechanic, Surveyor, Intelligence Agent",Ori-A3
Ori-A4-Sub,,"Amelia Earhart, Christian Bale, Chuck Yeager, Clint Eastwood,<br>
Demi Moore, Eazy-E, Harrison Ford, Sally Ride, Simon Cowell,<br>
Steve Jobs, Tom Cruise, Venus Williams, Vladimir Putin",Ori-A4
Ori-A5-Sub,,"If at first you don't succeed, try, try, again. Then quit.<br>
There's no point in being a damn fool about it.<br>
- W.C. Fields",Ori-A5
Ori-A6-Sub,,,Ori-A6
Ori-B1-Sub,,"Extraverted Sensing Thinking Perceiving (ESTP)<br><br>

Acronym : Extraordinarily Smooth Talking Persuader<br><br>

ESTP's are hands-on learners who live in the moment, seeking the best in life,<br>
wanting to share it with their friends.<br><br>

ESTP's are high energy extroverts who maximize each moment to get the best out of life.<br>
They are gregarious and sociable which often makes them the center or attention<br>
whether they are at work or a social event.<br><br>

An ESTP will be a natural group leader who can quickly identify the strengths<br>
and weaknesses of each member of their team.",Ori-B1
Ori-B2-Sub,,"ESTPs are outgoing, straight-shooting types.<br>
Live in the world of action.<br>
Place little importance on theory.<br>
Are action-oriented, make decisions quickly.<br>",Ori-B2
Ori-B3-Sub,,"Construction Worker, Entrepeneur,<br>
Firefighter, Paramedic, Sales<br><br>

More (The Doer) :<br>
Entrepreneur, Pilot, Police Officer, Pro Athlete,<br>
General Contractor, Promoter, Stockbroker",Ori-B3
Ori-B4-Sub,,"Al Capone, Alexander the Great, Donald Trump, Epicurus,<br>
Franklin Roosevelt, Kevin Spacey, L. Ron Hubbard, Madonna,<br>
Malcolm X, Mike Tyson, Milla Jovovich, Winston Churchill",Ori-B4
Ori-B5-Sub,,"Action may not always bring happiness,<br>
but there is no happiness without action.<br>
- William James",Ori-B5
Ori-B6-Sub,,,Ori-B6
Ori-C1-Sub,,"Intoverted Sensing Feeling Perceiving (ISFP)<br><br>

Acronym : I'm Sincerely Fulfilling my Purpose<br><br>

ISFP's are peaceful, easygoing people who adopt a ""live and let live"" approach to life.<br>
They enjoy taking things at their own pace and tend to live in the moment.<br><br>

ISFP's are difficult to build a close relationship with. They usually have a small<br>
circle of friends and family who they have had relationships with<br>
over long periods of time.<br><br>

They excel in positions where they can follow their own personal value<br>
system while also expressing themselves creatively.",Ori-C1
Ori-C2-Sub,,"Keenly in tune with the outside world.<br>
Kind and sensitive with regard to others.<br>
Truly appreciate the beauties of nature.<br>
ISFPs are action-oriented individuals.<br>",Ori-C2
Ori-C3-Sub,,"Designer, Elementary, Teacher,<br>
Musician, Nurse, Social Worker<br><br>

More (The Artist) :<br>
Archaeologist, Dancer, Forestry, Painter,<br>
Beautician, Chef, Landscape Architect",Ori-C3
Ori-C4-Sub,,"Audrey Hepburn, Christopher Reeve, David Beckham, Elizabeth Taylor,<br>
Heath Ledger, Jacqueline Kennedy Onassis, Jessica Alba, Marie Antoinette,<br>
Marilyn Monroe, Mark McGwire, Michael Jackson, Neil Simon,<br>
Paul McCartney, Prince, Ulysses S. Grant",Ori-C4
Ori-C5-Sub,,"Sometimes its not there strength but gentleness<br>
that cracks the hardest shells.<br>
- Richard Paul Evans",Ori-C5
Ori-C6-Sub,,,Ori-C6
Ori-D1-Sub,,"Extraverted Sensing Feeling Perceiving (ESFP)<br><br>

Acronym : Entertaining, Sparkly, Friendly Person<br><br>

ESFP's live in the moment, experiencing life to the fullest. They enjoy<br>
people, as well as material comforts.<br><br>

Rarely allowing conventions to interfere with their lives, they find<br>
creative ways to meet human needs. <br><br>

Observant, practical, realistic, and specific, ESFP's make decisions according to their own<br>
personal standards. They use their Feeling judgment internally to identify and<br>
empathize with others. Naturally attentive to the world around them.",Ori-D1
Ori-D2-Sub,,"Love people and new experiences.<br>
Also like to have fun.<br>
Warm and generous with their friends.<br>
Have a great love for life.<br>",Ori-D2
Ori-D3-Sub,,"Actor, Coach, Receptionist, Painter,<br>
Personal Trainer, Salesperson<br><br>

More (The Performer) :<br>
Film Producer, Sales Rep, Stockbroker, Waiter/Waitress,<br>
Travel Agent, Real Estate Agent, Receptionist",Ori-D3
Ori-D4-Sub,,"Andy Sandberg, Benito Mussolini, Bill Clinton, Chloe Grace Moretz,<br>
Deepak Chopra, John F. Kennedy, Katy Perry, Kyle Petty,<br>
Michelangelo Buonarroti, Serena Williams,<br>
Stephen Spielberg, Tony Robbins",Ori-D4
Ori-D5-Sub,,"I just like having fun. And, you know, sometimes i just like to<br>
present myself in that fun energy.<br>
- Katy Perry",Ori-D5
Ori-D6-Sub,,,Ori-D6
Ori-E1-Sub,,"Introverted Sensing Thinking Judging (ISTJ)<br><br>

Acronym : I Suit Tax Jobs<br><br>

ISTJ's thrive on organization. They keep their lives and environments well-regulated.<br>
They bring painstaking attention to detail in their work and will not<br>
rest until a job is well completed.<br><br>

ISTJ's are faithful, logical, organized, sensible, and earnest traditionalists.<br>
They earn success by thoroughness and dependability.<br><br>

ISTJ's respect facts. They hold a tremendous store of data within<br>
themselves, gathered through their Sensing function.",Ori-E1
Ori-E2-Sub,,"ISTJs are loyal, faithful, and dependable.<br>
Tend to believe in laws and traditions.<br>
May have difficulty picking up emotions.<br>
Want their personal lives to run smoothly.<br>",Ori-E2
Ori-E3-Sub,,"Accountant, Dentist, Math Teacher,<br>
Office Administrator, Police<br><br>

More (The Realist) :<br>
Accountant, Government, Military Officer, Auditor,<br>
Business Analyst, Physician, Librarian",Ori-E3
